年,月,日,小时,分钟,秒,南北纬,纬度,纬度,经度,经度,东西经,
17年,05月,10日,01时,34分,46秒,北纬,40度,47.628分,111度,41.732分,西经,
17年,05月,10日,01时,34分,47秒,北纬,40度,47.629分,111度,41.731分,西经,
17年,05月,10日,01时,34分,48秒,北纬,40度,47.630分,111度,41.731分,西经,
17年,05月,10日,01时,34分,49秒,北纬,40度,47.631分,111度,41.729分,西经,
17年,05月,10日,01时,34分,50秒,北纬,40度,47.633分,111度,41.729分,西经,
17年,05月,10日,01时,34分,51秒,北纬,40度,47.635分,111度,41.727分,西经,
17年,05月,10日,01时,34分,52秒,北纬,40度,47.637分,111度,41.726分,西经,
17年,05月,10日,01时,34分,53秒,北纬,40度,47.640分,111度,41.724分,西经,
17年,05月,10日,01时,34分,54秒,北纬,40度,47.642分,111度,41.722分,西经,
17年,05月,10日,01时,34分,55秒,北纬,40度,47.645分,111度,41.721分,西经,
17年,05月,10日,01时,34分,56秒,北纬,40度,47.647分,111度,41.720分,西经,
17年,05月,10日,01时,34分,57秒,北纬,40度,47.649分,111度,41.719分,西经,
17年,05月,10日,01时,34分,58秒,北纬,40度,47.651分,111度,41.718分,西经,
17年,05月,10日,01时,34分,59秒,北纬,40度,47.654分,111度,41.717分,西经,
17年,05月,10日,01时,35分,00秒,北纬,40度,47.657分,111度,41.716分,西经,
17年,05月,10日,01时,35分,01秒,北纬,40度,47.660分,111度,41.715分,西经,
17年,05月,10日,01时,35分,02秒,北纬,40度,47.664分,111度,41.714分,西经,
17年,05月,10日,01时,35分,03秒,北纬,40度,47.667分,111度,41.713分,西经,
17年,05月,10日,01时,35分,04秒,北纬,40度,47.670分,111度,41.711分,西经,
17年,05月,10日,01时,35分,05秒,北纬,40度,47.674分,111度,41.709分,西经,
17年,05月,10日,01时,35分,06秒,北纬,40度,47.677分,111度,41.708分,西经,
17年,05月,10日,01时,35分,07秒,北纬,40度,47.680分,111度,41.707分,西经,
17年,05月,10日,01时,35分,08秒,北纬,40度,47.683分,111度,41.705分,西经,
17年,05月,10日,01时,35分,09秒,北纬,40度,47.686分,111度,41.704分,西经,
17年,05月,10日,01时,35分,10秒,北纬,40度,47.688分,111度,41.704分,西经,
17年,05月,10日,01时,35分,11秒,北纬,40度,47.690分,111度,41.703分,西经,
17年,05月,10日,01时,35分,12秒,北纬,40度,47.693分,111度,41.702分,西经,
17年,05月,10日,01时,35分,13秒,北纬,40度,47.695分,111度,41.701分,西经,
17年,05月,10日,01时,35分,14秒,北纬,40度,47.697分,111度,41.701分,西经,
17年,05月,10日,01时,35分,15秒,北纬,40度,47.699分,111度,41.700分,西经,
17年,05月,10日,01时,35分,16秒,北纬,40度,47.700分,111度,41.700分,西经,
17年,05月,10日,01时,35分,17秒,北纬,40度,47.701分,111度,41.699分,西经,
17年,05月,10日,01时,35分,18秒,北纬,40度,47.702分,111度,41.700分,西经,
17年,05月,10日,01时,35分,19秒,北纬,40度,47.702分,111度,41.700分,西经,
17年,05月,10日,01时,35分,20秒,北纬,40度,47.703分,111度,41.701分,西经,
17年,05月,10日,01时,35分,21秒,北纬,40度,47.704分,111度,41.700分,西经,
17年,05月,10日,01时,35分,22秒,北纬,40度,47.706分,111度,41.700分,西经,
17年,05月,10日,01时,35分,23秒,北纬,40度,47.710分,111度,41.699分,西经,
17年,05月,10日,01时,35分,24秒,北纬,40度,47.713分,111度,41.698分,西经,
17年,05月,10日,01时,35分,25秒,北纬,40度,47.716分,111度,41.697分,西经,
17年,05月,10日,01时,35分,26秒,北纬,40度,47.718分,111度,41.696分,西经,
17年,05月,10日,01时,35分,27秒,北纬,40度,47.719分,111度,41.696分,西经,
17年,05月,10日,01时,35分,28秒,北纬,40度,47.719分,111度,41.696分,西经,
17年,05月,10日,01时,35分,29秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,30秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,31秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,32秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,33秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,34秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,35秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,36秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,37秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,38秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,39秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,40秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,41秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,42秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,43秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,44秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,45秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,46秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,47秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,48秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,49秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,50秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,51秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,52秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,53秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,54秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,55秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,56秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,57秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,58秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,35分,59秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,00秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,01秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,02秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,03秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,04秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,05秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,06秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,07秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,08秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,09秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,10秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,11秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,12秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,13秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,14秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,15秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,16秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,17秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,18秒,北纬,40度,47.719分,111度,41.695分,西经,
